
//cyrrilic symbols charcodes
1081 = й
1094 = ц
1091 = у
1082 = к
1077 = е
1085 = н
1075 = г
1096 = ш
1097 = щ
1079 = з
1093 = х
1098 = ъ
1092 = ф
1099 = ы
1074 = в
1072 = а
1087 = п
1088 = р
1086 = о
1083 = л
1076 = д
1078 = ж
1101 = э
1103 = я
1095 = ч
1089 = с
1084 = м
1080 = и
1090 = т
1100 = ь
1073 = б
1102 = ю
1049 = Й
1062 = Ц
1059 = У
1050 = К
1045 = Е
1053 = Н
1043 = Г
1064 = Ш
1065 = Щ
1047 = З
1061 = Х
1066 = Ъ
1060 = Ф
1067 = Ы
1042 = В
1040 = А
1055 = П
1056 = Р
1054 = О
1051 = Л
1044 = Д
1046 = Ж
1069 = Э
1071 = Я
1063 = Ч
1057 = С
1052 = М
1048 = И
1058 = Т
1068 = Ь
1041 = Б
1070 = Ю
1105 = ё
1025 = Ё
8470 = №
